"volsdepart","volsdepartcode","volsarrivee","volsarriveecode","volsdist","volstrain3h","volstrain6h"
"Lima","LIM","Tacna","TCQ",1991,"Non","Non"
"Toulouse/Blagnac","TLS","Amsterdam","AMS",1997,"Non","Non"
"Lyon","LYS","Manchester","MAN",2001,,
"Rennes/Saint-Jacques","RNS","Munich","MUC",2004,,
"Marseille","MRS","Oran","ORN",2007,,
"Paris","CDG","Copenhagen","CPH",2010,,
"Nantes","NTE","Munich","MUC",2020,,
"Marseille","MRS","Pragues","PRG",2022,,
"Geneva","GVA","Madrid","MAD",2022,,
"Brest/Guipavas","BES","Toulon/Hyères/Le Palyvestre","TLN",2024,,
"Pisa","PSA","Valence","VLC",2035,,
"Lyon","LYS","Algiers","ALG",2035,,
"Lyon","LYS","Liverpool","LPL",2042,,
"Marseille","MRS","Vienna","VIE",2043,,
"Marseille","MRS","London","LTN",2055,,
"Brussels","BRU","Zagreb","ZAG",2060,,
"Paris","CDG","brno","BRQ",2060,,
"Toulouse/Blagnac","TLS","Lisbon","LIS",2061,,
"Paris","CDG","Vienna","VIE",2073,,
"Vienna","VIE","Paris","CDG",2073,,
"gothenbourg","GOT","Munich","MUC",2074,,
"Bordeaux/Mérignac","BOD","Dublin","DUB",2076,,
"Brest/Guipavas","BES","Nice","NCE",2087,,
"brest","BES","Milan","MXP",2088,,
"Caen/Carpiquet","CFR","Venice","VCE",2094,,
"Nice","NCE","Bremerhaven","BRE",2103,,
"Montpellier","MPL","malaga","AGP",2104,,
"Paris","CDG","Palma De Mallorca","PMI",2107,,
"Lyxem","LUX","Varsovie","WMI",2114,,
"Rennes/Saint-Jacques","RNS","Pisa","PSA",2115,,
"Marseille","MRS","Goslar","HAJ",2115,,
"Paris","CDG","madrif","MAD",2131,,
"Marseille","MRS","Siracuse","CTA",2131,,
"Montpellier/Méditerranée","MPL","Prague","PRG",2134,,
"Beauvais/Tillé","BVA","Vienna","VIE",2138,,
"Lyon","LYS","Palermo","PMO",2139,,
"Montpellier/Méditerranée","MPL","Porto","OPO",2140,,
"Toulouse/Blagnac","TLS","Ljubljana","LJU",2140,,
"Lyon","LYS","bari","BRI",2144,,
"Paris","CDG","Poznań","POZ",2146,,
"rennes","RNS","ajaccio","AJA",2147,,
"Nice","NCE","Londre","LTN",2150,,
"Montpellier","MPL","Seville","SVQ",2157,,
"Pau/Pyrénées (Uzein)","PUF","Rome","CIA",2160,,
"Phnom Penh","PNH","Hanoi","HAN",2164,,
"nancy","ETZ","Warsaw","WMI",2167,,
"Barcelona","BCN","Brussels","BRU",2170,,
"Bruxelles","BRU","Krakov","KRK",2171,,
"Paris","CDG","Saint-Jacques de Compostelle (Espagne)","SCQ",2172,,
"Paris","CDG","VALENCIA","VLC",2174,,
"Nantes","NTE","Hamburg","HAM",2184,,
"Strasbourg","SXB","Bari","BRI",2186,,
"Frankfurt am Main","FRA","Barcelona","BCN",2190,,
"Marseille","MRS","Lecce","BDS",2191,,
"Montpellier/Méditerranée","MPL","Vienna","VIE",2197,,
"geneve","GVA","Tunis","TUN",2199,,
"Lyon","LYS","La Corogne","LCG",2201,,
"Nápoli","NAP","Toulouse/Blagnac","TLS",2213,,
"Santiago","SCL","Antofagasta (Chili)","ANF",2216,,
"Lyon","LYS"," Dubrovnik","DBV",2218,,
"Frankfurt am Main","FRA","Naples","NAP",2222,,
"Ho-Chi-Minh-Ville/Saïgon","SGN","Haiphong","HPH",2227,,
"Nantes","NTE","Lisbon","LIS",2229,,
"Toulouse/Blagnac","TLS","Manchester","MAN",2230,,
"Marseille","MRS","Málaga","AGP",2236,,
"Paris","CDG","Rome","CIA",2242,,
"Charleroi","BRU","Warsaw","WMI",2254,,
"Bordeaux/Mérignac","BOD","Rome","CIA",2256,,
