"volsdepart","volsdepartcode","volsarrivee","volsarriveecode","volsdist","volstrain3h","volstrain6h"
"Paris","CDG","Kathmandu","KTM",14459,,
"Paris","CDG","Orlando","MCO",14493,,
"Bâle/Mulhouse","BSL","Natal","NAT",14546,,
"Nice","NCE","San Juan, PR","SJU",14557,,
"Nice","NCE","Chicago","MDW",14602,,
"Bordeaux","BOD","Oxford","UOX",14646,,
"Toulouse","TLS","Orlando","MCO",14653,,
"Paris","CDG","recife","REC",14668,,
"Paris","CDG","Fort Lauderdale","FLL",14696,,
"Calgary","YYC","Paris","CDG",14741,,
"Paris","CDG","Port-au-Prince","PAP",14745,,
"Paris","CDG","Belém (Brésil)","BEL",14868,,
"Bâle/Mulhouse","BSL","Bengalore","BLR",14910,,
"Montpellier","MPL","Windoehk","WDH",14964,,
"Paris","CDG","lhassa","LXA",14986,,
"Toulouse/Blagnac","TLS","Harare","HRE",14988,,
"Montpellier/Méditerranée","MPL","Port au Prince","PAP",15027,,
"Paris","CDG","Wichita","ICT",15188,,
"Strasbourg","SXB","Orlando","MCO",15236,,
"Strasbourg","SXB","Oxford","UOX",15407,,
"Christchurch","CHC","Antarctique","PUQ",15421,,
"Montpellier/Méditerranée","MPL","Edmonton (Canada)","YEG",15441,,
"Paris","CDG","New Orleans","MSY",15483,,
"Paris","CDG","Cuba","HAV",15505,,
"Nice","NCE","Port-au-Prince","PAP",15546,,
"Cayenne","CAY","Hamburg","HAM",15587,,
"Paris","CDG","Spokane","GEG",15666,,
"Paris","CDG","Bangalore","BLR",15667,,
"Brussels","BRU","Vancouver","YVR",15672,,
"Amsterdam","AMS","Beijing","PEK",15672,,
"Sydney","SYD","Tokyo","NRT",15682,,
"Paris","CDG","denver USA","DEN",15683,,
"Paris","CDG","calcutta","CCU",15693,,
"Paris","CDG","Mahe Island","SEZ",15718,,
"Paris","CDG","vancouvert","YVR",15868,,
"graz","GRZ","cayenne","CAY",15906,,
"Paris","CDG","Madras","MAA",16061,,
"Seattle","BFI","Paris","CDG",16101,,
"Paris","CDG","Seattle","BFI",16101,,
"Paris","CDG","Pamandzi","DZA",16117,,
"Paris","CDG","Houston","HOU",16208,,
"Geneve","GVA","New Orleans","MSY",16223,,
"Rennes/Saint-Jacques","RNS","Portland","PDX",16264,,
"Bordeaux/Mérignac","BOD","Vancouver","YVR",16353,,
"Paris","CDG","Beijing","PEK",16396,,
"Toulouse","TLS","Thiruvananthapuram","TRV",16413,,
"Paris","CDG","Austin","AUS",16430,,
"Lyon","LYS","Denvers","DEN",16447,,
"Paris","CDG","Cancún","CUN",16456,,
"Paris","CDG","Xi'an","XIY",16470,,
"Toulouse/Blagnac","TLS","Johannesbourg","JNB",16476,,
"Paris","CDG","Portland","PDX",16484,,
"Paris","CDG","Chengdu","CTU",16518,,
"Clermont-Ferrand/Auvergne","CFE","Vancouver","YVR",16518,,
"Lyon","LYS","XIAN","XIY",16564,,
"Lyon","LYS","Beijing","PEK",16613,,
"Paris","CDG","San Antonio","SAT",16643,,
"BOGOTA ","BOG","RENNES","RNS",16653,,
"Lyon","LYS","Vancouver","YVR",16690,,
"RENNES","RNS","PANAMA","BLB",16761,,
"Marseille","MRS","Denver","DEN",16801,,
"Lyon","LYS","Houston","HOU",16879,,
"Toulouse","TLS","Victoria","YYJ",16879,,
"Lyon","LYS","Seattle","BFI",16920,,
"Seatle","BFI","Lyon","LYS",16920,,
"Montpellier/Méditerranée","MPL","Brasília","BSB",16924,,
"Rennes","RNS","Brasilia","BSB",16925,,
"Toulouse/Blagnac","TLS","Bogota","BOG",16985,,
"Rennes/Saint-Jacques","RNS","Beijing","PEK",16992,,
"Toulouse","TLS","Mérida (Mexique","MID",17018,,
"TOULOUSE","TLS","Salt Lake City","SLC",17030,,
"Marseille","MRS","Brasília","BSB",17065,,
"Montpellier","MPL","Beijing","PEK",17069,,
"Lyon","LYS","Salt Lake City","SLC",17112,,
"Nantes","NTE","Beijing","PEK",17127,,
"Marseille","MRS","Houston","HOU",17141,,
"San frncico","SFO","Londres","LTN",17195,,
"bordeaux","BOD","Antananarivo","TNR",17203,,
"Montpellier","MPL","Seattle","BFI",17220,,
"Toulouse/Blagnac","TLS","Chengdu","CTU",17270,,
"Lyon","LYS","Portland","PDX",17301,,
"Paris","CDG","Bogotá","BOG",17309,,
"Marseille","MRS","Seattle","BFI",17357,,
"Toulouse/Blagnac","TLS","Beijing","PEK",17361,,
"Toulouse/Blagnac","TLS","Rio De Janeiro","GIG",17372,,
"Marseille","MRS","Austin","AUS",17393,,
"Paris","CDG","Panama","BLB",17398,,
"Montpellier","MPL","Bogota","BOG",17400,,
"Marseille","MRS","Cape Town ","CPT",17446,,
"Lyon","LYS","Albuquerque","ABQ",17471,,
"Paris","CDG","Las Vegas","LAS",17493,,
"Paris","CDG","Johanesbourg","JNB",17495,,
"Johannesburg","JNB","Paris","CDG",17495,,
"Paris","CDG","Antananarivo","TNR",17516,,
"Paris","CDG","Brasilia","BSB",17532,,
"Amsterdam","AMS","San Francisco","SFO",17591,,
"Paris","CDG","Phoenix","PHX",17620,,
"Montpellier/Méditerranée","MPL","Rio De Janeiro","GIG",17646,,
"Paris","CDG","Tucson, Etats-Unis","TUS",17730,,
"Paris","CDG","Wuhan","WUH",17750,,
"MONTPELLIER","MPL","SAINT DENIS","RUN",17792,,
"RUN","RUN","MPL","MPL",17792,,
"Bordeaux","BOD","Sao Paulo","GRU",17811,,
"Strasbourg","SXB","la Laguna","GJA",17819,,
"Rennes","RNS","Rio De Janeiro","GIG",17822,,
"Nantes","NTE","San Francisco","SFO",17832,,
"Toulouse/Blagnac","TLS","Sao paolo","GRU",17841,,
"Paris ","CDG","Seoul","ICN",17873,,
"Seoul","ICN","Paris","CDG",17873,,
"Paris","CDG","San Francisco","SFO",17945,,
"San Francisco","SFO","Paris","CDG",17945,,
"Seville","SVQ","Mexico City","MEX",17979,,
"Paris","CDG","Sapporo","OKD",18045,,
"Luxembourg","LUX","Hangzhou","HGH",18067,,
"Clermont-Ferrand/Auvergne","CFE","Saint-Denis / la Réunion","RUN",18213,,
"Paris","CDG","Los Angeles","LAX",18225,,
"Los Angeles","LAX","Paris","CDG",18225,,
"Lyon","LYS","Las Vegas","LAS",18277,,
"Bordeaux/Mérignac","BOD","Mexico City","MEX",18279,,
"Paris","CDG","Santa Barbara (USA, Californie)","SBA",18285,,
"San Francisco","SFO","Berlin","SXF",18294,,
"Bordeaux/Mérignac","BOD","Yantai","YNT",18302,,
"Bordeaux/Mérignac","BOD","San Francisco","SFO",18304,,
"Paris","CDG","San Diego","SAN",18317,,
"Toulouse","TLS","Tucson","TUS",18321,,
"Paris","CDG","Hanoi","HAN",18336,,
"Paris","CDG","Rio De Janeiro","GIG",18389,,
"Rio De Janeiro","GIG","Paris","CDG",18389,,
"Rennes/Saint-Jacques","RNS","Yangon (Myanmar)","RGN",18389,,
"Paris","CDG","Nanning","NNG",18411,,
"Paris","CDG","Mexico","MEX",18418,,
"Mexico City","MEX","Paris","CDG",18418,,
"Paris","CDG","Vientiane","VTE",18443,,
"Nice","NCE","Thailande","DMK",18446,,
"Lyon","LYS","Tucson","TUS",18487,,
"Lyon","LYS","Sapporo","OKD",18491,,
"Strasbourg","SXB","San Francisco","SFO",18499,,
"Paris","CDG","Busan","PUS",18543,,
"Paris","CDG","Shanghai","PVG",18554,,
"Lyon","LYS","Campinas","VCP",18582,,
"Montpellier/Méditerranée","MPL","Hanoi","HAN",18620,,
"Toulouse","TLS","Mexico","MEX",18683,,
"Toulouse/Blagnac","TLS","San Francisco","SFO",18725,,
"Paris","CDG","Le Cap","CPT",18746,,
"Lyon","LYS","San Francisco","SFO",18750,,
"Paris","CDG","saint denis de la réunion","RUN",18760,,
"Geneva","GVA","San José, Costa Rica","SJC",18766,,
"Geneva","GVA","São Paulo","GRU",18781,,
"Geneva","GVA","Pasto, Colombie","PSO",18797,,
"Paris","CDG","Campinas (Brésil)","VCP",18817,,
"Lyon","LYS","Palm springs, Ca, USA","PSP",18826,,
"Paris","CDG","São Paulo","GRU",18831,,
"São Paulo","GRU","Paris","CDG",18831,,
"Paris","CDG","Bangkok","DMK",18859,,
"Poitiers","PIS","Hanoi, vietnam","HAN",18866,,
"Montpellier","MPL","Bangkok","DMK",18960,,
"Montpellier","MPL","San Francisco","SFO",19006,,
"Lyon","LYS","Los Angeles","LAX",19013,,
"London","LTN","São Paulo","GRU",19017,,
"Marseille","MRS","Shanghai","PVG",19048,,
"Clermont-Ferrand/Auvergne","CFE","Jeju City","CJU",19063,,
"MONTPELLIER","MPL","MEXICO","MEX",19076,,
"Paris","CDG","Shenzhen","SZX",19130,,
"MRS","MRS","San Francisco","SFO",19159,,
"Paris","CDG","Kumamoto","KMJ",19173,,
"Barcelona","BCN","San Francisco (USA)","SFO",19193,,
"Paris","CDG","Hong Kong","HKG",19202,,
"Barcelona","BCN","Seoul","ICN",19210,,
"Lyon","LYS","Hong Kong, Chine","HKG",19229,,
"Montpellier","MPL","Los Angeles","LAX",19232,,
"Paris","CDG","Nagoya","NKM",19257,,
"Paris","CDG","Osaka","KIX",19273,,
"Osaka","KIX","Paris","CDG",19273,,
"Marseille","MRS","Mexico","MEX",19275,,
"Montpellier","MPL","San Diego","SAN",19304,,
"Paris","CDG","Sanya","SYX",19317,,
"Sanya ","SYX","Paris","CDG",19317,,
"Nice","NCE","San Francisco","SFO",19320,,
"Paris ","CDG","Xiamen","XMN",19323,,
"Lyon","LYS","Kanazawa","KMQ",19351,,
"Lyon","LYS","Hiroshima","HIJ",19378,,
"Nouméa ","GEA","Dhaka","DAC",19392,,
"Paris","CDG","Tokyo","NRT",19442,,
"Tokyo","NRT","Paris","CDG",19442,,
"BREST","BES","LA REUNION","RUN",19480,,
"Toulouse/Blagnac","TLS","Hangzhou","HGH",19482,,
"Nice","NCE","Mexico City","MEX",19548,,
"Nice","NCE","Los Angeles","LAX",19580,,
"Paris","CDG","Taipei","TPE",19593,,
"Lyon","LYS","Osaka","KIX",19611,,
"Montpellier/Méditerranée","MPL","Hong Kono","HKG",19617,,
"Geneva","GVA","Tokyo","NRT",19651,,
"Nice","NCE","Taipeh","TPE",19707,,
"Lyon","LYS","Taiwan","TPE",19721,,
"San Francisco","SFO","shangai","PVG",19777,,
"Lyon","LYS","Tokyo","NRT",19836,,
"Roissy","CDG","Phnom Penh","PNH",19856,,
"Rennes/Saint-Jacques","RNS","Tokyo","NRT",19950,,
"Toulouse/Blagnac","TLS","Macau","MFM",19954,,
"Toulon/Hyères/Le Palyvestre","TLN","Osaka","KIX",19955,,
"Toulouse/Blagnac","TLS","Hong Kong","HKG",19972,,
"Clermont-Ferrand/Auvergne","CFE","Tokyo","NRT",19991,,
"Marseille","MRS","Osaka","KIX",19992,,
"Lyon","LYS","SGN","SGN",20078,,
"Montpellier/Méditerranée","MPL","Osaka","KIX",20095,,
"Paris","CDG","Naha (Okinawa), Japon","OKA",20103,,
"bordeaux","BOD","Hong Kong","HKG",20112,,
"Buenos Aires","EZE","Madrid","MAD",20193,,
"Lyon","LYS","Cuzco","CUZ",20231,,
"Paris","CDG","Hochiminhcity","SGN",20232,,
"Marseille","MRS","Tokyo","NRT",20241,,
"Lyon","LYS","okinawa","OKA",20307,,
"Lyon","LYS","Porto Alegre","POA",20319,,
"Montpellier/Méditerranée","MPL","Tokyo","NRT",20331,,
"toulouse","TLS","Osaka","KIX",20340,,
"Paris","CDG","Asuncion","ASU",20368,,
"Montpellier","MPL","Lima","LIM",20467,,
"Tokyo","NRT","toulouse","TLS",20550,,
"Paris","CDG","Arequipa, Pérou","AQP",20552,,
"Paris","CDG","porto alegre","POA",20564,,
"Paris","CDG","Lima","LIM",20575,,
"Lima","LIM","Paris","CDG",20575,,
"Marseille","MRS","Kuala Lumpur","KUL",20663,,
"Santiago","SCL","Seattle","BFI",20742,,
"Lima","LIM","Lyon","LYS",20758,,
"Montpellier/Méditerranée","MPL","Kuala Lumpur","KUL",20861,,
"Singapore","SIN","Lyon","LYS",21203,,
"Lyon","LYS","Singapore","SIN",21203,,
"Bordeaux/Mérignac","BOD","Buenos Aires","EZE",21219,,
"Marseille","MRS","Singapore","SIN",21245,,
"Lyon","LYS","Calama","CJC",21265,,
"Madrid","MAD","Santiago","SCL",21461,,
"Paris","CDG","Singapore","SIN",21473,,
"Lyon","LYS","Antofagasta","ANF",21634,,
"Paris","CDG","Montevideo","MVD",21966,,
"Lyon","LYS","Buenos Aires","EZE",22012,,
"Paris","CDG","El Salvador","ESR",22035,,
"Seattle","BFI","Rio De Janeiro","GIG",22188,,
"Paris","CDG","Buenos Aires","EZE",22226,,
"Bâle/Mulhouse","BSL","Santa Fe","SFN",22299,,
"London","LTN","Buenos Aires","EZE",22371,,
"Nice","NCE","Jakarta","CGK",22497,,
"Toulouse/Blagnac","TLS","Santiago","SCL",22535,,
"Nantes","NTE","Santiago (Chili)","SCL",22628,,
"Rennes/Saint-Jacques","RNS","Santiago","SCL",22736,,
"Nice","NCE","La Serena (chili)","LSC",22846,,
"Paris","CDG","Jakarta","CGK",23122,,
"Lyon","LYS","Santiago","SCL",23284,,
"Paris CDG","CDG","Santiago","SCL",23372,,
"Santiago","SCL","Paris","CDG",23372,,
"Brest","BES","Honolulu","HNL",23670,,
"Paris","CDG","Honolulu","HNL",23943,,
"Barcelone","BCN","Punta Arenas","PUQ",25209,,
"Montpellier/Méditerranée","MPL","Perth/Australie","PER",28167,,
"Saint-Pierre","FSP","Kuala Lumpur","KUL",28230,,
"Toulouse/Blagnac","TLS","Perth","PER",28580,,
"Fort de France","FDF","Nouméa","GEA",29943,,
"Paris","CDG","Cairns","CNS",30325,,
"Marseille","MRS","Cairns (Aus)","CNS",30591,,
"Papeete","PPT","Paris","CDG",31463,,
"Paris","CDG","Papeete","PPT",31463,,
"Montpellier/Méditerranée","MPL","Papeete","PPT",32446,,
"Lyon","LYS","Melbourne","MEL",33228,,
"Paris","CDG","Nouméa","GEA",33477,,
"Paris","CDG","Melbourne","MEL",33551,,
"melbourne","MEL","toulouse","TLS",33818,,
"Toulouse","TLS","Melbourne","MEL",33818,,
"Marseille","MRS","Sydney","SYD",33844,,
"Paris","CDG","Sydney","SYD",33927,,
"Brest/Guipavas","BES","noumea","GEA",34024,,
"Nantes","NTE","Melbourne","MEL",34226,,
"Nouméa","GEA","Marseille","MRS",34228,,
"Montpellier/Méditerranée","MPL","Nouméa","GEA",34339,,
"Santiago","SCL","Tokyo","NRT",34361,,
"Paris, France","CDG","Hobart, Australie","HBA",34531,,
"Bordeaux/Mérignac","BOD","Canberra","CBR",34567,,
"Toulouse","TLS","Noumea","GEA",34583,,
"Bordeaux/Mérignac","BOD","Sydney","SYD",34703,,
"Brest/Guipavas","BES","Hobart (Tasmanie)","HBA",35559,,
"Paris","CDG","Auckland","AKL",37123,,
"Lyon","LYS","Auckland","AKL",37487,,
"Paris","CDG","Wellington","WLG",37978,,
"Toulouse/Blagnac","TLS","Auckland (New zealand)","AKL",38228,,
"Rennes/Saint-Jacques","RNS","Christchurch","CHC",38722,,
"brest","BES","Christchurch NZ","CHC",38875,,
"NA","NA","NA","NA","NA",,
"NA","NA","Aires","EZE","NA",,
"NA","NA","Chennai","MAA","NA",,
"Montpellier/Méditerranée","MPL","NA","NA","NA",,
"Paris","CDG","NA","NA","NA",,
"Madrid","MAD","NA","NA","NA",,
"NA","NA","Bochum","DTM","NA",,
"NA","NA","Budapest","BUD","NA",,
"NA","NA","Toulouse/Blagnac","TLS","NA",,
"NA","NA","Istanbul","ISL","NA",,
"NA","NA","Durban","DUR","NA",,
